Zone,Price,Weight,Service
2,$5.03 ,14,DHL SmartMail Parcel Expedited
2,$5.10 ,15,DHL SmartMail Parcel Expedited
2,$5.13 ,16,DHL SmartMail Parcel Expedited
3,$3.79 ,1,DHL SmartMail Parcel Expedited
3,$3.83 ,2,DHL SmartMail Parcel Expedited
3,$3.88 ,3,DHL SmartMail Parcel Expedited
3,$3.92 ,4,DHL SmartMail Parcel Expedited
3,$4.12 ,5,DHL SmartMail Parcel Expedited
3,$4.17 ,6,DHL SmartMail Parcel Expedited
3,$4.22 ,7,DHL SmartMail Parcel Expedited
3,$4.26 ,8,DHL SmartMail Parcel Expedited
3,$4.56 ,9,DHL SmartMail Parcel Expedited
3,$4.60 ,10,DHL SmartMail Parcel Expedited
3,$4.64 ,11,DHL SmartMail Parcel Expedited
3,$4.69 ,12,DHL SmartMail Parcel Expedited
3,$5.06 ,13,DHL SmartMail Parcel Expedited
3,$5.10 ,14,DHL SmartMail Parcel Expedited
3,$5.16 ,15,DHL SmartMail Parcel Expedited
3,$5.20 ,16,DHL SmartMail Parcel Expedited
4,$3.80 ,1,DHL SmartMail Parcel Expedited
4,$3.87 ,2,DHL SmartMail Parcel Expedited
4,$3.92 ,3,DHL SmartMail Parcel Expedited
4,$3.99 ,4,DHL SmartMail Parcel Expedited
4,$4.20 ,5,DHL SmartMail Parcel Expedited
4,$4.26 ,6,DHL SmartMail Parcel Expedited
4,$4.31 ,7,DHL SmartMail Parcel Expedited
4,$4.37 ,8,DHL SmartMail Parcel Expedited
4,$4.68 ,9,DHL SmartMail Parcel Expedited
4,$4.74 ,10,DHL SmartMail Parcel Expedited
4,$4.80 ,11,DHL SmartMail Parcel Expedited
4,$4.87 ,12,DHL SmartMail Parcel Expedited
4,$5.26 ,13,DHL SmartMail Parcel Expedited
4,$5.30 ,14,DHL SmartMail Parcel Expedited
4,$5.37 ,15,DHL SmartMail Parcel Expedited
4,$5.42 ,16,DHL SmartMail Parcel Expedited
5,$3.83 ,1,DHL SmartMail Parcel Expedited
5,$3.92 ,2,DHL SmartMail Parcel Expedited
5,$4.02 ,3,DHL SmartMail Parcel Expedited
5,$4.11 ,4,DHL SmartMail Parcel Expedited
5,$4.36 ,5,DHL SmartMail Parcel Expedited
5,$4.43 ,6,DHL SmartMail Parcel Expedited
5,$4.52 ,7,DHL SmartMail Parcel Expedited
5,$4.61 ,8,DHL SmartMail Parcel Expedited
5,$4.96 ,9,DHL SmartMail Parcel Expedited
5,$5.03 ,10,DHL SmartMail Parcel Expedited
5,$5.13 ,11,DHL SmartMail Parcel Expedited
5,$5.22 ,12,DHL SmartMail Parcel Expedited
5,$5.64 ,13,DHL SmartMail Parcel Expedited
5,$5.72 ,14,DHL SmartMail Parcel Expedited
