MarketOrderId,SellerOrderId,SalesChannel,ShipMethod,TrackingNumber,CartonWeight,Carrier,Class,ShippedCarrierCode,MarkupCost,NegotiatedCost
#LCU148760,5.31161E+12,ICL101 ,OTHER STANDARD,`420360889374811015300240490548,0.0688,DHLAPI,DHL SmartMail LWP Expedited,D01,4.01,3.3
#LC2269US,5.4244E+12,ICL101 ,OTHER STANDARD,`420344729374811015300240486206,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.29,3.53
#98690(2),243785841,CUS518 ,OTHER STANDARD,`420229039361211015300240494984,1.9625,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU148773,5.31164E+12,ICL101 ,OTHER STANDARD,`420744219374811015300240507062,0.1062,DHLAPI,DHL SmartMail LWP Expedited,D01,3.93,3.23
#LCU148807,5.31171E+12,ICL101 ,OTHER STANDARD,`420785429374811015300240493372,0.0562,DHLAPI,DHL SmartMail LWP Expedited,D01,3.83,3.15
#LCU148755,5.31161E+12,ICL101 ,OTHER STANDARD,`420273779374811015300240468462,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.29,3.53
#LC2276US,5.42445E+12,ICL101 ,OTHER STANDARD,`420840889374811015300240516552,0.8688,DHLAPI,DHL SmartMail LWP Expedited,D01,5.76,4.74
#LC2276US,5.42445E+12,ICL101 ,OTHER STANDARD,`420840889374811015300240516552,0.8688,DHLAPI,DHL SmartMail LWP Expedited,D01,5.76,4.74
#LC2276US,5.42445E+12,ICL101 ,OTHER STANDARD,`420840889374811015300240516552,0.8688,DHLAPI,DHL SmartMail LWP Expedited,D01,5.76,4.74
#LC2276US,5.42445E+12,ICL101 ,OTHER STANDARD,`420840889374811015300240516552,0.8688,DHLAPI,DHL SmartMail LWP Expedited,D01,5.76,4.74
#LC2266US,5.42438E+12,ICL101 ,OTHER STANDARD,`420770539374811015300240495413,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.15,3.41
#LCU148765,5.31162E+12,ICL101 ,OTHER STANDARD,`420656169374811015300240477044,0.0688,DHLAPI,DHL SmartMail LWP Expedited,D01,3.93,3.23
#LCU148778,5.31164E+12,ICL101 ,OTHER STANDARD,`420564259374811015300240511168,0.0625,DHLAPI,DHL SmartMail LWP Expedited,D01,3.86,3.17
#LC2274US,5.42444E+12,ICL101 ,OTHER STANDARD,`420103089374811015300240478089,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.29,3.53
#LC2278US,5.42446E+12,ICL101 ,OTHER STANDARD,`420370729374811015300240486497,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.25,3.49
#LCU148816,5.31172E+12,ICL101 ,OTHER STANDARD,`420997019374811015300240463825,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,6.51,5.35
#LCU148757,5.31161E+12,ICL101 ,OTHER STANDARD,`420088619374811015300240484462,0.1188,DHLAPI,DHL SmartMail LWP Expedited,D01,4.01,3.3
#LCU148757,5.31161E+12,ICL101 ,OTHER STANDARD,`420088619374811015300240484462,0.1188,DHLAPI,DHL SmartMail LWP Expedited,D01,4.01,3.3
#LCU148797,5.31169E+12,ICL101 ,OTHER STANDARD,`420760289374811015300240510963,0.4562,DHLAPI,DHL SmartMail LWP Expedited,D01,4.72,3.88
#LC2275US,5.42444E+12,ICL101 ,OTHER STANDARD,`420262929374811015300240463979,0.2125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.29,3.53
1,#97989,CUS518 ,,`420440609361211015300240531054,4.0562,DHLAPI,DHL SmartMail Parcel Expedited,D43,16.66,13.71
4,,CUS517 ,,`1Z5896F10303438545,94,UPS,UPS® Ground,U11,381.81,293.7
#LC2112US,5.41808E+12,ICL101 ,OTHER STANDARD,`420956679361211015300242988276,1.1062,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.2,5.92
A41728,5.30936E+12,CUS516 ,UPS STANDARD,`1Z5896F10300210956,20.6312,UPS,UPS® Ground,U11,21.36,16.43
218,,CUS320 ,,`420750789374811015300243165269,0.1562,DHLAPI,DHL SmartMail LWP Ground,D32,3.99,3.28
A41727,5.30928E+12,CUS516 ,UPS STANDARD,`420378039374811015300243128240,0.3875,DHLAPI,DHL SmartMail LWP Ground,D32,4.72,3.88
#LCU147235,5.30917E+12,ICL101 ,OTHER STANDARD,`420958359361211015300242979199,1.1062,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.2,5.92
2,,CUS517 ,,`1Z5896F10313850937,94,UPS,UPS® Ground,U11,381.81,293.7
#99049,244626831,CUS518 ,OTHER STANDARD,`420128669361211015300243393000,1.1188,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
4,#97827,CUS518 ,,`420021089361211015300243406786,1.3062,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU147009,5.30875E+12,ICL101 ,OTHER STANDARD,`420797059361211015300243033890,2.15,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.85,8.1
#LCU124881,5.27523E+12,ICL101 ,OTHER STANDARD,`420080919361211015300243001400,1.1062,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU147436,5.30942E+12,ICL101 ,OTHER STANDARD,`420933089361211015300242993027,1.1062,DHLAPI,DHL SmartMail Parcel Expedited,D43,6.72,5.53
114-2539545-2949836,114-2539545-2949836,CUS229 ,OTHER STANDARD,`420920579361211015300243122532,2.7938,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.53,6.19
